epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6314,0,131.16,0,0,0,0,0,3.00762,4.22244,2.08851,7.5e-05,7.5e-05,7.5e-05
2,45.3362,0,129.419,0,0,0,0,0,3.72693,4.30244,2.43151,0.000160891,0.000160891,0.000160891
3,46.8544,0,124.05,0,0,0,0,0,4.4975,4.35988,2.87991,0.00024505,0.00024505,0.00024505
4,49.4031,0,119.716,0,0,0,0,0,4.63012,4.39962,3.09605,0.000327476,0.000327476,0.000327476
5,50.8939,0,115.119,0,0,0,0,0,4.68473,4.33759,3.22204,0.00040817,0.00040817,0.00040817
6,52.2964,0,110.126,0,0,0,0,0,4.76408,4.33643,3.29783,0.000487131,0.000487131,0.000487131
7,53.75,0,105.532,0,0,0,0,0,4.72051,4.34456,3.25334,0.00056436,0.00056436,0.00056436
8,55.1554,0,102.074,0,0,0,0,0,4.47221,4.38229,3.05627,0.000639856,0.000639856,0.000639856
9,56.6164,0,98.9931,0,0,0,0,0,4.26871,4.3576,2.93999,0.00071362,0.00071362,0.00071362
10,58.0796,0,95.7928,0,0.00036,0.00417,0.00021,4e-05,4.37581,4.37413,3.01816,0.000785651,0.000785651,0.000785651
11,59.5135,0,93.7791,0,0.00023,0.00758,0.00012,2e-05,4.72797,4.36255,2.97374,0.00085595,0.00085595,0.00085595
12,60.9297,0,90.9122,0,0,0,0,0,4.87718,4.40403,2.95704,0.000924516,0.000924516,0.000924516
13,62.3401,0,87.9123,0,0,0,0,0,5.00352,4.4195,2.98972,0.00099135,0.00099135,0.00099135
14,63.7094,0,85.4194,0,0,0,0,0,5.18819,4.42239,3.2364,0.00105645,0.00105645,0.00105645
15,65.1109,0,83.0337,0,0,0,0,0,5.32093,4.43716,3.32896,0.00107675,0.00107675,0.00107675
16,66.8395,0,80.881,0,0,0,0,0,5.3033,4.4521,3.25279,0.00106437,0.00106437,0.00106437
17,68.6796,0,78.3466,0,0,0,0,0,5.21298,4.4257,3.25264,0.001052,0.001052,0.001052
18,70.7163,0,76.998,0,0,0,0,0,5.14422,4.42724,3.46809,0.00103962,0.00103962,0.00103962
19,72.6138,0,75.7005,0,0,0,0,0,5.29725,4.36753,4.85164,0.00102725,0.00102725,0.00102725
20,74.5989,0,73.6539,0,0,0,0,0,5.42227,4.38839,4.62717,0.00101488,0.00101488,0.00101488
21,76.3846,0,72.6332,0,0,0,0,0,5.57574,4.37489,4.75691,0.0010025,0.0010025,0.0010025
22,78.2735,0,70.9881,0,0,0,0,0,5.63538,4.38248,4.60846,0.000990125,0.000990125,0.000990125
23,80.2059,0,69.055,0,0,0,0,0,5.58653,4.37697,4.56842,0.00097775,0.00097775,0.00097775
