epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.373,1.41945,3.18827,1.59411,0.00892,0.7677,0.16215,0.08021,1.55202,3.4818,1.68164,0.0003375,0.0003375,0.0003375
2,227.79,1.46676,2.519,1.59758,0.11455,0.4657,0.20994,0.10793,1.56279,3.13669,1.75348,0.000680694,0.000680694,0.000680694
3,323.222,1.50776,2.08094,1.61335,0.50188,0.27803,0.24886,0.10769,1.86477,2.75455,2.00292,0.00101696,0.00101696,0.00101696
4,434.133,1.54722,1.93317,1.60917,0.40474,0.28066,0.16092,0.05774,2.09614,2.98381,2.23495,0.00121287,0.00121287,0.00121287
5,570.896,1.49063,1.79436,1.59241,0.42838,0.20458,0.14778,0.05772,2.1273,2.875,2.14625,0.0012005,0.0012005,0.0012005
6,663.226,1.42297,1.71026,1.58714,0.33705,0.40632,0.36668,0.16663,1.75746,2.13193,1.92769,0.00118812,0.00118812,0.00118812
7,771.009,1.45177,1.66801,1.54692,0.32904,0.48846,0.32475,0.16593,1.72447,2.12072,1.87757,0.00117575,0.00117575,0.00117575
8,866.714,1.41421,1.47234,1.51227,0.53965,0.43588,0.39987,0.18769,1.80132,2.76243,1.91302,0.00116337,0.00116337,0.00116337
9,961.285,1.43024,1.56449,1.52912,0.47812,0.41186,0.31656,0.16317,1.80036,3.196,1.89521,0.001151,0.001151,0.001151
