epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.6288,1.76449,1.20886,1.35067,0.71877,0.67785,0.75319,0.26661,2.01712,1.2726,1.51203,0.000742625,0.000742625,0.000742625
43,91.3977,1.72301,1.1981,1.34283,0.69582,0.72853,0.74696,0.28891,1.97506,1.27496,1.5189,0.00073025,0.00073025,0.00073025
44,93.1852,1.69839,1.17059,1.33866,0.6362,0.70231,0.66014,0.24672,2.10724,1.3314,1.50749,0.000717875,0.000717875,0.000717875
45,94.931,1.72861,1.21244,1.35028,0.69682,0.69735,0.71092,0.254,2.09656,1.29349,1.53729,0.0007055,0.0007055,0.0007055
46,96.8446,1.72942,1.19169,1.35314,0.72377,0.66985,0.73254,0.27526,1.99552,1.28165,1.47992,0.000693125,0.000693125,0.000693125
47,98.5954,1.6901,1.17226,1.33298,0.69821,0.68942,0.6876,0.23917,2.15256,1.31796,1.53375,0.00068075,0.00068075,0.00068075
48,100.357,1.67433,1.159,1.34827,0.71791,0.64833,0.69247,0.2571,2.08406,1.28111,1.52257,0.000668375,0.000668375,0.000668375
49,102.035,1.67181,1.17715,1.34648,0.67986,0.66876,0.67984,0.24892,2.1621,1.28664,1.52509,0.000656,0.000656,0.000656
50,103.74,1.63021,1.13295,1.32285,0.69149,0.71266,0.71174,0.26688,2.11315,1.23631,1.49349,0.000643625,0.000643625,0.000643625
51,105.459,1.61946,1.10118,1.28593,0.73551,0.58718,0.65886,0.2402,2.24392,1.25326,1.64481,0.00063125,0.00063125,0.00063125
52,107.142,1.6382,1.12872,1.30287,0.75369,0.72582,0.7566,0.296,2.05214,1.1692,1.54736,0.000618875,0.000618875,0.000618875
53,108.867,1.68151,1.14403,1.31498,0.76794,0.70153,0.76437,0.30602,2.01775,1.1456,1.52786,0.0006065,0.0006065,0.0006065
54,110.608,1.63108,1.11443,1.29815,0.75174,0.71428,0.76373,0.29601,2.06125,1.15721,1.5309,0.000594125,0.000594125,0.000594125
55,112.358,1.64049,1.13051,1.314,0.80367,0.68665,0.75863,0.29027,2.10432,1.13797,1.51825,0.00058175,0.00058175,0.00058175
56,114.134,1.57186,1.08682,1.2919,0.70115,0.71798,0.68699,0.2514,2.17193,1.21629,1.59646,0.000569375,0.000569375,0.000569375
57,115.894,1.58621,1.10012,1.30083,0.7713,0.65304,0.73339,0.26745,2.08111,1.22452,1.58098,0.000557,0.000557,0.000557
58,117.659,1.5633,1.08391,1.30578,0.65683,0.70079,0.74804,0.30294,1.97018,1.20226,1.47113,0.000544625,0.000544625,0.000544625
59,119.409,1.57376,1.06742,1.29783,0.63122,0.69263,0.67705,0.23579,2.222,1.27855,1.61831,0.00053225,0.00053225,0.00053225
60,121.165,1.62857,1.05205,1.26858,0.64942,0.74017,0.72956,0.27156,2.08652,1.24053,1.51886,0.000519875,0.000519875,0.000519875
61,123.034,1.55559,1.08147,1.28407,0.69644,0.7038,0.73035,0.29393,1.99703,1.19804,1.48381,0.0005075,0.0005075,0.0005075
62,124.94,1.66987,1.08079,1.32866,0.6978,0.7169,0.74143,0.28963,1.98342,1.18907,1.48748,0.000495125,0.000495125,0.000495125
63,126.704,1.62128,1.06746,1.29145,0.67398,0.65288,0.69691,0.23897,2.25592,1.29747,1.73742,0.00048275,0.00048275,0.00048275
64,128.602,1.59839,1.05344,1.31933,0.71129,0.71189,0.75315,0.27551,2.12445,1.18361,1.55688,0.000470375,0.000470375,0.000470375
