epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6503,2.53579,3.84787,1.99537,0.0173,0.24415,0.03288,0.00922,2.69844,3.94823,1.89069,0.0002625,0.0002625,0.0002625
2,19.3821,2.25842,3.07951,1.59402,0.01893,0.28926,0.02648,0.00598,2.87448,3.72475,1.96438,0.000532179,0.000532179,0.000532179
3,24.766,2.29921,2.35599,1.66499,0.02652,0.41316,0.06433,0.01466,3.09251,3.30847,2.1242,0.000796412,0.000796412,0.000796412
4,30.138,2.1669,1.93012,1.61556,0.24074,0.16533,0.19915,0.06282,2.52032,2.53516,1.70892,0.0010552,0.0010552,0.0010552
5,35.6793,2.08123,1.7577,1.54736,0.18978,0.3159,0.19555,0.05252,2.65348,2.22173,1.83922,0.0012005,0.0012005,0.0012005
6,42.4705,2.00751,1.6083,1.52318,0.37382,0.42299,0.35326,0.0953,2.73453,1.89691,1.90073,0.00118812,0.00118812,0.00118812
7,50.7362,2.00464,1.5707,1.54481,0.38838,0.37582,0.32076,0.07689,2.77309,1.82288,1.92285,0.00117575,0.00117575,0.00117575
8,57.8922,1.954,1.48436,1.52464,0.5142,0.56041,0.54275,0.1751,2.38019,1.60978,1.80397,0.00116337,0.00116337,0.00116337
9,64.9186,1.8558,1.38695,1.47767,0.53185,0.59783,0.549,0.1571,2.42733,1.57364,1.75511,0.001151,0.001151,0.001151
10,71.7546,1.8533,1.33703,1.45993,0.49359,0.53402,0.47516,0.13318,2.61216,1.54293,1.87687,0.00113863,0.00113863,0.00113863
11,78.9566,1.77406,1.28147,1.43413,0.46587,0.59763,0.47019,0.13884,2.5804,1.63233,1.88344,0.00112625,0.00112625,0.00112625
12,85.9622,1.81667,1.26507,1.43446,0.47858,0.57793,0.49335,0.14201,2.5801,1.53505,1.86291,0.00111388,0.00111388,0.00111388
13,93.0628,1.77086,1.22808,1.41211,0.51821,0.6287,0.48062,0.14929,2.47696,1.54919,1.89458,0.0011015,0.0011015,0.0011015
14,99.692,1.76129,1.18373,1.38741,0.58962,0.60851,0.55521,0.1582,2.48684,1.48139,1.82751,0.00108913,0.00108913,0.00108913
15,106.336,1.71441,1.17032,1.38888,0.66913,0.59386,0.61922,0.18789,2.50915,1.38501,1.90719,0.00107675,0.00107675,0.00107675
16,112.968,1.71592,1.13154,1.38069,0.56701,0.65967,0.5977,0.1829,2.44957,1.39341,1.84534,0.00106437,0.00106437,0.00106437
17,119.277,1.70001,1.13247,1.35665,0.61372,0.569,0.52737,0.14583,2.62634,1.41444,1.84953,0.001052,0.001052,0.001052
18,125.696,1.63413,1.09408,1.34748,0.60417,0.61759,0.6168,0.18217,2.46628,1.33673,1.84447,0.00103962,0.00103962,0.00103962
19,132.178,1.61084,1.07198,1.33136,0.63012,0.67038,0.63339,0.2106,2.34618,1.3976,1.73195,0.00102725,0.00102725,0.00102725
20,139.242,1.64609,1.0707,1.31267,0.61111,0.72604,0.66856,0.21533,2.33881,1.33722,1.71151,0.00101488,0.00101488,0.00101488
21,146.592,1.5993,1.0539,1.30879,0.65831,0.63341,0.66796,0.22782,2.30529,1.31246,1.77878,0.0010025,0.0010025,0.0010025
22,153.114,1.57919,1.03171,1.29847,0.6222,0.73371,0.68514,0.22145,2.31707,1.3251,1.80378,0.000990125,0.000990125,0.000990125
23,159.622,1.60284,1.02017,1.31278,0.61744,0.64514,0.62072,0.18871,2.47832,1.30845,1.98261,0.00097775,0.00097775,0.00097775
24,166.085,1.57804,1.00481,1.30276,0.70857,0.6444,0.66574,0.22733,2.28783,1.3082,1.84057,0.000965375,0.000965375,0.000965375
25,172.689,1.54026,1.00324,1.28463,0.65843,0.70081,0.68555,0.2329,2.2372,1.26329,1.72632,0.000953,0.000953,0.000953
26,178.938,1.56699,0.97658,1.28465,0.62169,0.71529,0.64251,0.21102,2.36109,1.28191,1.73456,0.000940625,0.000940625,0.000940625
27,186.745,1.57167,0.97064,1.28173,0.70744,0.66661,0.6895,0.23392,2.34917,1.22961,1.79168,0.00092825,0.00092825,0.00092825
28,193.523,1.51855,0.97976,1.26149,0.72547,0.63408,0.6858,0.21636,2.3301,1.25548,1.74994,0.000915875,0.000915875,0.000915875
29,199.958,1.48326,0.93781,1.23993,0.70677,0.66733,0.67052,0.23071,2.3862,1.18307,1.86586,0.0009035,0.0009035,0.0009035
