epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2716,1.40714,3.18001,1.57657,0.00883,0.76428,0.16664,0.07932,1.45422,3.20304,1.60371,0.0003375,0.0003375,0.0003375
2,17.7518,1.39949,2.58141,1.57617,0.01173,0.78499,0.19867,0.09935,1.48409,2.92702,1.67736,0.000680694,0.000680694,0.000680694
3,24.2897,1.51282,2.17535,1.60485,0.59784,0.16327,0.09691,0.04027,1.80302,2.4945,1.98332,0.00101696,0.00101696,0.00101696
4,30.6686,1.46658,1.9138,1.55603,0.25361,0.31703,0.25111,0.11329,1.73255,2.04234,1.90563,0.00121287,0.00121287,0.00121287
5,37.3427,1.44758,1.72339,1.54259,0.28311,0.38296,0.24795,0.11285,1.84595,2.10243,1.99335,0.0012005,0.0012005,0.0012005
6,45.5737,1.50324,1.70765,1.55798,0.33617,0.46497,0.35985,0.16205,1.86063,1.90048,1.93834,0.00118812,0.00118812,0.00118812
7,54.534,1.44349,1.58916,1.54585,0.29121,0.41414,0.27302,0.1257,1.79744,2.32073,2.00901,0.00117575,0.00117575,0.00117575
8,63.6307,1.39136,1.4094,1.46668,0.34014,0.47487,0.3039,0.14133,1.80137,2.79727,1.89428,0.00116337,0.00116337,0.00116337
9,70.3297,1.38099,1.50326,1.52614,0.61447,0.36206,0.40827,0.20815,1.74775,1.98853,1.81836,0.001151,0.001151,0.001151
10,79.8201,1.40509,1.39991,1.50965,0.60185,0.46427,0.50306,0.25227,1.73066,1.63417,1.74447,0.00113863,0.00113863,0.00113863
11,89.4278,1.36592,1.36312,1.47236,0.49238,0.42649,0.40531,0.21484,1.63297,2.41061,1.71482,0.00112625,0.00112625,0.00112625
12,97.0208,1.50554,1.43955,1.52898,0.47971,0.41344,0.37434,0.18306,1.86957,2.70702,1.88341,0.00111388,0.00111388,0.00111388
13,103.283,1.44318,1.32151,1.50495,0.62793,0.43728,0.47241,0.24206,1.71665,1.749,1.73332,0.0011015,0.0011015,0.0011015
14,110.141,1.36552,1.3339,1.48846,0.6901,0.60124,0.64443,0.3218,1.76625,1.39808,1.78651,0.00108913,0.00108913,0.00108913
15,116.185,1.3722,1.20038,1.46403,0.71863,0.58794,0.63109,0.35038,1.64524,1.27463,1.70934,0.00107675,0.00107675,0.00107675
16,122.297,1.37606,1.17505,1.46167,0.68354,0.59461,0.64443,0.3569,1.71124,1.36523,1.74241,0.00106437,0.00106437,0.00106437
17,128.763,1.37617,1.1705,1.44725,0.8786,0.52061,0.64584,0.3555,1.67211,1.36864,1.73616,0.001052,0.001052,0.001052
18,135.056,1.31921,1.13357,1.4432,0.76238,0.34511,0.46207,0.241,1.75566,1.85295,1.7829,0.00103962,0.00103962,0.00103962
19,141.267,1.3945,1.19008,1.52747,0.5183,0.57037,0.55683,0.2929,1.6802,1.48446,1.71534,0.00102725,0.00102725,0.00102725
20,147.603,1.33546,1.08336,1.44104,0.83403,0.61842,0.7076,0.40902,1.64481,1.16555,1.66787,0.00101488,0.00101488,0.00101488
21,154.037,1.36498,1.12951,1.45206,0.79576,0.62582,0.71214,0.40605,1.64849,1.16706,1.69614,0.0010025,0.0010025,0.0010025
22,160.613,1.31532,1.11281,1.42555,0.84815,0.59248,0.70665,0.40893,1.67094,1.14351,1.69528,0.000990125,0.000990125,0.000990125
23,166.977,1.39756,1.13388,1.45267,0.80366,0.50925,0.64653,0.37374,1.64537,1.2208,1.66796,0.00097775,0.00097775,0.00097775
24,173.198,1.32039,1.02528,1.40855,0.7748,0.60075,0.67207,0.35995,1.70191,1.1403,1.71187,0.000965375,0.000965375,0.000965375
25,179.425,1.3841,1.09372,1.46256,0.68983,0.55125,0.60507,0.31168,1.74718,1.35188,1.71346,0.000953,0.000953,0.000953
26,185.611,1.32228,1.10648,1.43462,0.90539,0.58211,0.69465,0.3921,1.70188,1.15195,1.69911,0.000940625,0.000940625,0.000940625
27,191.835,1.30699,1.05848,1.41694,0.88533,0.56821,0.69645,0.40063,1.62774,1.13927,1.63492,0.00092825,0.00092825,0.00092825
28,198.062,1.26504,1.00967,1.41292,0.82047,0.59934,0.72102,0.42627,1.56036,1.02642,1.6347,0.000915875,0.000915875,0.000915875
29,204.214,1.31698,1.03639,1.42283,0.85248,0.6342,0.73079,0.41926,1.59471,1.02933,1.63641,0.0009035,0.0009035,0.0009035
30,210.452,1.28105,1.01476,1.40061,0.8125,0.63254,0.73776,0.43648,1.58631,1.02352,1.62112,0.000891125,0.000891125,0.000891125
31,216.67,1.25063,1.4597,1.34307,0.7563,0.62181,0.6991,0.42227,1.59204,1.11048,1.65175,0.00087875,0.00087875,0.00087875
32,223.163,1.30203,1.02171,1.41954,0.86077,0.62102,0.74023,0.44258,1.59764,1.02894,1.62718,0.000866375,0.000866375,0.000866375
33,230.614,1.22769,0.93102,1.38413,0.70131,0.63512,0.66344,0.39878,1.61685,1.13607,1.64137,0.000854,0.000854,0.000854
34,237.373,1.26988,0.97884,1.40119,0.75783,0.61786,0.72213,0.4024,1.64601,1.02172,1.66249,0.000841625,0.000841625,0.000841625
35,244.948,1.28173,0.94983,1.4107,0.66516,0.64785,0.64546,0.3877,1.5809,1.23515,1.59804,0.00082925,0.00082925,0.00082925
36,252.491,1.26035,0.91501,1.40268,0.79755,0.6321,0.72666,0.43098,1.5916,1.04797,1.63026,0.000816875,0.000816875,0.000816875
37,261.789,1.20197,0.87209,1.36991,0.86472,0.57335,0.72426,0.39684,1.67985,1.05656,1.71305,0.0008045,0.0008045,0.0008045
38,270.277,1.28743,0.94012,1.3996,0.82654,0.56184,0.64367,0.3714,1.61426,1.15864,1.68809,0.000792125,0.000792125,0.000792125
39,277.312,1.25141,0.88651,1.36219,0.84563,0.61921,0.73192,0.42358,1.62957,1.02223,1.66666,0.00077975,0.00077975,0.00077975
40,284.083,1.25782,0.91612,1.39029,0.84672,0.62345,0.7459,0.44313,1.63718,0.9756,1.67256,0.000767375,0.000767375,0.000767375
41,290.654,1.22634,0.87075,1.35401,0.88335,0.59371,0.73409,0.43793,1.58737,1.00998,1.63707,0.000755,0.000755,0.000755
42,297.721,1.24506,0.86193,1.38077,0.90677,0.64685,0.75385,0.46022,1.57216,0.95944,1.62015,0.000742625,0.000742625,0.000742625
43,304.398,1.26392,0.92974,1.39293,0.84999,0.66943,0.77547,0.46995,1.57872,0.94353,1.62675,0.00073025,0.00073025,0.00073025
44,311.035,1.22415,0.87791,1.37303,0.84874,0.64326,0.75932,0.451,1.60512,0.96572,1.64241,0.000717875,0.000717875,0.000717875
45,317.639,1.18883,0.86867,1.3654,0.89881,0.6684,0.79775,0.46073,1.60005,0.9252,1.64047,0.0007055,0.0007055,0.0007055
46,324.309,1.26109,0.91488,1.43627,0.82438,0.68631,0.79132,0.46454,1.59909,0.9173,1.63015,0.000693125,0.000693125,0.000693125
47,331.155,1.22375,0.8301,1.37081,0.84821,0.67693,0.76146,0.45795,1.57408,0.93465,1.61945,0.00068075,0.00068075,0.00068075
